model,dataset,attack,n_original,n_finetuned,mean_asr_original,std_asr_original,mean_asr_finetuned,std_asr_finetuned,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
VGG16,Cifar10|epochs100_pretrain300,FGSM,1,1,0.5539000000000001,,0.6057,,0.05179999999999996,,,,False,0.05179999999999996
VGG16,Cifar10|epochs100_pretrain300,PGD,1,1,0.817,,0.897,,0.08000000000000007,,,,False,0.08000000000000007
VGG16,Cifar10|epochs3_pretrain3,APGD,1,1,0.9049,,0.8712,,-0.03370000000000006,,,,False,0.03370000000000006
VGG16,Cifar10|epochs3_pretrain3,BIM,2,2,0.6099,0.0,0.4606,0.0,-0.1493,-inf,0.0,,True,0.1493
VGG16,Cifar10|epochs3_pretrain3,CW,1,1,0.8963,,0.9608,,0.0645,,,,False,0.0645
VGG16,Cifar10|epochs3_pretrain3,DeepFool,1,1,0.9244,,0.8588,,-0.06559999999999999,,,,False,0.06559999999999999
VGG16,Cifar10|epochs3_pretrain3,FGSM,1,1,0.7997,,0.7243999999999999,,-0.07530000000000003,,,,False,0.07530000000000003
VGG16,Cifar10|epochs3_pretrain3,PGD,1,1,0.846,,0.808,,-0.03799999999999992,,,,False,0.03799999999999992
XceptionNet,Cifar100|epochs100_pretrain300,APGD,1,1,0.9572,,0.9408,,-0.01640000000000008,,,,False,0.01640000000000008
XceptionNet,Cifar100|epochs100_pretrain300,BIM,1,1,0.6878,,0.6352,,-0.05259999999999998,,,,False,0.05259999999999998
XceptionNet,Cifar100|epochs100_pretrain300,CW,1,1,0.9823,,0.9948,,0.012500000000000067,,,,False,0.012500000000000067
XceptionNet,Cifar100|epochs100_pretrain300,FGSM,1,1,0.8498,,0.8322,,-0.01759999999999995,,,,False,0.01759999999999995
XceptionNet,Cifar100|epochs100_pretrain300,PGD,1,1,0.9272,,0.9132,,-0.014000000000000012,,,,False,0.014000000000000012
XceptionNet,Cifar100|epochs200_pretrain200,APGD,1,1,0.9461,,0.9433,,-0.0028000000000000247,,,,False,0.0028000000000000247
XceptionNet,Cifar100|epochs200_pretrain200,BIM,1,1,0.6523,,0.6518999999999999,,-0.00040000000000006697,,,,False,0.00040000000000006697
XceptionNet,Cifar100|epochs200_pretrain200,CW,1,1,0.9586,,0.9963,,0.037699999999999956,,,,False,0.037699999999999956
XceptionNet,Cifar100|epochs200_pretrain200,FGSM,1,1,0.8419,,0.8391,,-0.0028000000000000247,,,,False,0.0028000000000000247
XceptionNet,Cifar100|epochs200_pretrain200,PGD,1,1,0.9175,,0.9164,,-0.0010999999999999899,,,,False,0.0010999999999999899
XceptionNet,Cifar100|epochs300_pretrain100,APGD,1,1,0.9393,,0.9545,,0.015199999999999991,,,,False,0.015199999999999991
XceptionNet,Cifar100|epochs300_pretrain100,BIM,1,1,0.6343,,0.6787000000000001,,0.044400000000000106,,,,False,0.044400000000000106
XceptionNet,Cifar100|epochs300_pretrain100,CW,1,1,0.9422,,0.9973,,0.05509999999999993,,,,False,0.05509999999999993
XceptionNet,Cifar100|epochs300_pretrain100,FGSM,1,1,0.8325,,0.8438,,0.011299999999999977,,,,False,0.011299999999999977
XceptionNet,Cifar100|epochs300_pretrain100,PGD,1,1,0.9094,,0.9304,,0.02100000000000002,,,,False,0.02100000000000002
XceptionNet,Cifar100|epochs3_pretrain3,APGD,1,1,0.9892,,0.9872,,-0.0020000000000000018,,,,False,0.0020000000000000018
XceptionNet,Cifar100|epochs3_pretrain3,BIM,1,1,0.8698,,0.8334,,-0.03639999999999999,,,,False,0.03639999999999999
XceptionNet,Cifar100|epochs3_pretrain3,CW,1,1,0.9952,,0.9956,,0.00040000000000006697,,,,False,0.00040000000000006697
XceptionNet,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9533,,0.9463,,-0.007000000000000006,,,,False,0.007000000000000006
XceptionNet,Cifar100|epochs3_pretrain3,PGD,1,1,0.9776,,0.9735,,-0.0040999999999999925,,,,False,0.0040999999999999925
XceptionNet,Cifar10|epochs100_pretrain300,APGD,1,1,0.8839,,0.8397,,-0.04420000000000002,,,,False,0.04420000000000002
XceptionNet,Cifar10|epochs100_pretrain300,BIM,1,1,0.3892,,0.3219999999999999,,-0.06720000000000009,,,,False,0.06720000000000009
XceptionNet,Cifar10|epochs100_pretrain300,CW,1,1,0.9985,,0.9715,,-0.027000000000000024,,,,False,0.027000000000000024
XceptionNet,Cifar10|epochs100_pretrain300,FGSM,1,1,0.596,,0.5568,,-0.03920000000000001,,,,False,0.03920000000000001
XceptionNet,Cifar10|epochs100_pretrain300,PGD,1,1,0.8094,,0.7619,,-0.04749999999999999,,,,False,0.04749999999999999
XceptionNet,Cifar10|epochs200_pretrain200,APGD,1,1,0.8584,,0.8507,,-0.00770000000000004,,,,False,0.00770000000000004
XceptionNet,Cifar10|epochs200_pretrain200,BIM,2,2,0.3497,0.00014142135623729392,0.34809999999999997,0.00014142135623725467,-0.0016000000000000458,-8.000000000002359,0.07916684832110797,,False,0.0016000000000000458
XceptionNet,Cifar10|epochs200_pretrain200,CW,1,1,0.9951,,0.9867,,-0.008399999999999963,,,,False,0.008399999999999963
XceptionNet,Cifar10|epochs200_pretrain200,FGSM,1,1,0.5729,,0.5587,,-0.01419999999999999,,,,False,0.01419999999999999
XceptionNet,Cifar10|epochs200_pretrain200,PGD,1,1,0.7804,,0.7699,,-0.010499999999999954,,,,False,0.010499999999999954
XceptionNet,Cifar10|epochs300_pretrain100,APGD,1,1,0.8381000000000001,,0.8796,,0.04149999999999998,,,,False,0.04149999999999998
XceptionNet,Cifar10|epochs300_pretrain100,BIM,2,2,0.3260499999999999,7.071067811864696e-05,0.3864499999999999,7.071067811864696e-05,0.06040000000000001,604.0000000000666,0.0010540052825948952,,True,0.06040000000000001
XceptionNet,Cifar10|epochs300_pretrain100,CW,1,1,0.9897,,0.998,,0.008299999999999974,,,,False,0.008299999999999974
XceptionNet,Cifar10|epochs300_pretrain100,FGSM,1,1,0.5698,,0.5851,,0.01529999999999998,,,,False,0.01529999999999998
XceptionNet,Cifar10|epochs300_pretrain100,PGD,1,1,0.7621,,0.8101,,0.04800000000000004,,,,False,0.04800000000000004
XceptionNet,Cifar10|epochs3_pretrain3,APGD,1,1,0.926,,0.9325,,0.00649999999999995,,,,False,0.00649999999999995
XceptionNet,Cifar10|epochs3_pretrain3,BIM,2,1,0.60895,7.071067811864696e-05,0.6191,,0.010149999999999992,,,,False,0.010149999999999992
XceptionNet,Cifar10|epochs3_pretrain3,CW,1,1,0.9769,,0.9851,,0.008199999999999985,,,,False,0.008199999999999985
XceptionNet,Cifar10|epochs3_pretrain3,FGSM,1,1,0.7758,,0.7724,,-0.0034000000000000696,,,,False,0.0034000000000000696
XceptionNet,Cifar10|epochs3_pretrain3,PGD,1,1,0.8737,,0.8772,,0.0034999999999999476,,,,False,0.0034999999999999476
