model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar10|epochs3_pretrain3,Finetuned,BIM,InceptionNet (Finetuned),3809226,0.6827,0.4444,0.4444,0.3173,0.5556,0.5556,0.2382999999999999,0.3490552219129925,0.6509447780870076
InceptionNet,Cifar10|epochs100_pretrain300,Original,BIM,InceptionNet (Original),5991082,0.8527,0.6434,0.6434,0.1473,0.3566,0.3566,0.2093,0.2454556115867245,0.7545443884132754
InceptionNet,Cifar10|epochs300_pretrain100,Original,BIM,InceptionNet (Original),5991082,0.8594,0.6799,0.6799,0.1405999999999999,0.3201,0.3201,0.1795000000000001,0.2088666511519666,0.7911333488480334
InceptionNet,Cifar10|epochs200_pretrain200,Original,BIM,InceptionNet (Original),5991082,0.8598,0.6716,0.6716,0.1402,0.3284,0.3284,0.1882,0.2188881135147709,0.7811118864852291
InceptionNet,Cifar10|epochs3_pretrain3,Original,BIM,InceptionNet (Original),5991082,0.6515,0.4214,0.4214,0.3485,0.5786,0.5786,0.2300999999999999,0.353184957789716,0.646815042210284
VGG16,Cifar10_epochs3_pretrain3,Finetuned,PGD,VGG16 (Finetuned),21893450,0.7592,0.1924,0.1924,0.2408,0.8076,0.8076,0.5668,0.7465753424657534,0.2534246575342466
VGG16,Cifar10_epochs100_pretrain300,Finetuned,PGD,VGG16 (Finetuned),21893450,0.9167,0.1041,0.1041,0.0833,0.8959,0.8959,0.8126,0.8864404930729792,0.1135595069270208
VGG16,Cifar10_epochs200_pretrain200,Original,PGD,VGG16 (Original),33663050,0.9245,0.2093,0.2093,0.0755,0.7907,0.7907,0.7152,0.7736073553272038,0.2263926446727961
VGG16,Cifar10_epochs300_pretrain100,Original,PGD,VGG16 (Original),33663050,0.9287,0.2113,0.2113,0.0713,0.7887,0.7887,0.7174,0.7724776569398084,0.2275223430601916
VGG16,Cifar10_epochs3_pretrain3,Original,PGD,VGG16 (Original),33663050,0.5429,0.1542,0.1542,0.4570999999999999,0.8458,0.8458,0.3887,0.7159697918585375,0.2840302081414625
VGG16,Cifar10_epochs100_pretrain300,Original,PGD,VGG16 (Original),33663050,0.9204,0.1816,0.1816,0.0796,0.8184,0.8184,0.7388,0.8026944806605824,0.1973055193394176
ConvNeXt,Cifar100|epochs200_pretrain200,Finetuned,CW,ConvNeXt (Finetuned),2551876,0.0097,0.0001,0.0001,0.9903,0.9999,0.9999,0.0096,0.9896907216494846,0.0103092783505154
ConvNeXt,Cifar100|epochs3_pretrain3,Finetuned,CW,ConvNeXt (Finetuned),2551876,0.0103,0.0042,0.0042,0.9897,0.9958,0.9958,0.0061,0.5922330097087379,0.4077669902912621
ConvNeXt,Cifar100|epochs300_pretrain100,Finetuned,CW,ConvNeXt (Finetuned),2551876,0.0109,0.0002,0.0002,0.9891,0.9998,0.9998,0.0107,0.981651376146789,0.018348623853211
ConvNeXt,Cifar100|epochs100_pretrain300,Finetuned,CW,ConvNeXt (Finetuned),2551876,0.0081,0.0,0.0,0.9919,1.0,1.0,0.0081,1.0,0.0
ConvNeXt,Cifar100|epochs200_pretrain200,Original,CW,ConvNeXt (Original),27897028,0.4159,0.0021,0.0021,0.5841000000000001,0.9979,0.9979,0.4138,0.9949507093051214,0.0050492906948785
ConvNeXt,Cifar100|epochs3_pretrain3,Original,CW,ConvNeXt (Original),27897028,0.2409,0.0248,0.0248,0.7591,0.9752,0.9752,0.2161,0.8970527189705272,0.1029472810294728
ConvNeXt,Cifar100|epochs300_pretrain100,Original,CW,ConvNeXt (Original),27897028,0.412,0.0016,0.0016,0.5880000000000001,0.9984,0.9984,0.4104,0.996116504854369,0.003883495145631
ConvNeXt,Cifar100|epochs100_pretrain300,Original,CW,ConvNeXt (Original),27897028,0.4119,0.0025,0.0025,0.5881000000000001,0.9975,0.9975,0.4094,0.9939305656712796,0.0060694343287205
RegNetX_400MF,Cifar100_epochs300_pretrain100,Finetuned,PGD,RegNetX_400MF (Finetuned),4032260,0.4007,0.0319,0.0319,0.5992999999999999,0.9681,0.9681,0.3688,0.9203893186922886,0.0796106813077115
RegNetX_400MF,Cifar100_epochs100_pretrain300,Finetuned,PGD,RegNetX_400MF (Finetuned),4032260,0.3991,0.0307,0.0307,0.6009,0.9693,0.9693,0.3684,0.923076923076923,0.0769230769230769
RegNetX_400MF,Cifar100_epochs3_pretrain3,Finetuned,PGD,RegNetX_400MF (Finetuned),3884036,0.13,0.0099,0.0099,0.87,0.9901,0.9901,0.1201,0.9238461538461538,0.0761538461538461
RegNetX_400MF,Cifar100_epochs200_pretrain200,Finetuned,PGD,RegNetX_400MF (Finetuned),4032260,0.3997,0.0358,0.0358,0.6003000000000001,0.9642,0.9642,0.3639,0.910432824618464,0.0895671753815361
RegNetX_400MF,Cifar100_epochs300_pretrain100,Original,PGD,RegNetX_400MF (Original),4811012,0.3579,0.0305,0.0305,0.6421,0.9695,0.9695,0.3274,0.9147806649902208,0.0852193350097792
RegNetX_400MF,Cifar100_epochs100_pretrain300,Original,PGD,RegNetX_400MF (Original),4811012,0.3526,0.0193,0.0193,0.6474,0.9807,0.9807,0.3333,0.9452637549631312,0.0547362450368689
RegNetX_400MF,Cifar100_epochs3_pretrain3,Original,PGD,RegNetX_400MF (Original),4811012,0.0963,0.0046,0.0046,0.9037,0.9954,0.9954,0.0917,0.952232606438214,0.047767393561786
RegNetX_400MF,Cifar100_epochs200_pretrain200,Original,PGD,RegNetX_400MF (Original),4811012,0.3578,0.026,0.026,0.6422,0.974,0.974,0.3318,0.927333705980995,0.072666294019005
XceptionNet,Cifar10|epochs3_pretrain3,Finetuned,DeepFool,XceptionNet (Finetuned),11193490,0.6748,0.1252,0.1252,0.3252,0.8748,0.8748,0.5496,0.8144635447540012,0.1855364552459988
XceptionNet,Cifar10|epochs200_pretrain200,Finetuned,DeepFool,XceptionNet (Finetuned),13839874,0.8846,0.2521,0.2521,0.1153999999999999,0.7479,0.7479,0.6325000000000001,0.7150124349988696,0.2849875650011304
XceptionNet,Cifar10|epochs100_pretrain300,Finetuned,DeepFool,XceptionNet (Finetuned),11193490,0.8875,0.2454,0.2454,0.1125,0.7545999999999999,0.7545999999999999,0.6420999999999999,0.7234929577464788,0.2765070422535211
XceptionNet,Cifar10|epochs300_pretrain100,Finetuned,DeepFool,XceptionNet (Finetuned),13839874,0.8751,0.236,0.236,0.1249,0.764,0.764,0.6391,0.7303165352531139,0.269683464746886
XceptionNet,Cifar10|epochs3_pretrain3,Original,DeepFool,XceptionNet (Original),20827442,0.6504,0.1296,0.1296,0.3496,0.8704000000000001,0.8704000000000001,0.5207999999999999,0.8007380073800737,0.1992619926199262
XceptionNet,Cifar10|epochs200_pretrain200,Original,DeepFool,XceptionNet (Original),20827442,0.8806,0.2251,0.2251,0.1193999999999999,0.7749,0.7749,0.6555000000000001,0.7443788326141267,0.2556211673858732
XceptionNet,Cifar10|epochs100_pretrain300,Original,DeepFool,XceptionNet (Original),20827442,0.8712,0.2236,0.2236,0.1288,0.7764,0.7764,0.6476,0.7433425160697887,0.2566574839302112
XceptionNet,Cifar10|epochs300_pretrain100,Original,DeepFool,XceptionNet (Original),20827442,0.8827,0.232,0.232,0.1172999999999999,0.768,0.768,0.6507000000000001,0.737170046448397,0.262829953551603
InceptionNet,Cifar100_epochs200_pretrain200,Finetuned,BIM,InceptionNet (Finetuned),3638308,0.573,0.3615,0.3615,0.427,0.6385000000000001,0.6385000000000001,0.2114999999999999,0.369109947643979,0.630890052356021
InceptionNet,Cifar100_epochs3_pretrain3,Finetuned,BIM,InceptionNet (Finetuned),4492804,0.3148,0.165,0.165,0.6852,0.835,0.835,0.1498,0.4758576874205845,0.5241423125794155
InceptionNet,Cifar100_epochs100_pretrain300,Finetuned,BIM,InceptionNet (Finetuned),3901476,0.5741,0.3599,0.3599,0.4258999999999999,0.6401,0.6401,0.2142,0.3731057307089357,0.6268942692910642
InceptionNet,Cifar100_epochs300_pretrain100,Finetuned,BIM,InceptionNet (Finetuned),3638308,0.5715,0.3387,0.3387,0.4285,0.6613,0.6613,0.2328,0.4073490813648294,0.5926509186351706
InceptionNet,Cifar100_epochs200_pretrain200,Original,BIM,InceptionNet (Original),6083332,0.5606,0.3206,0.3206,0.4394,0.6794,0.6794,0.24,0.4281127363539065,0.5718872636460934
InceptionNet,Cifar100_epochs3_pretrain3,Original,BIM,InceptionNet (Original),6083332,0.2429,0.1381,0.1381,0.7571,0.8619,0.8619,0.1048,0.431453272951832,0.568546727048168
InceptionNet,Cifar100_epochs100_pretrain300,Original,BIM,InceptionNet (Original),6083332,0.5491,0.2993,0.2993,0.4508999999999999,0.7007,0.7007,0.2498,0.4549262429429976,0.5450737570570023
