model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,explainability_shap_cosine_similarity,explainability_shap_pearson_r,explainability_shap_spearman_r,explainability_shap_topk_jaccard,explainability_shap_l1_mean_abs_diff,explainability_shap_l2_distance,explainability_shap_pair_count,robustness_per_flop,transfer_resistance_per_latency
InceptionNet,tinyimagenet_epochs100_pretrain300,Finetuned,InceptionNet (Finetuned),4431352,,9.95290104765445,25721.143893049175,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs300_pretrain100,Finetuned,InceptionNet (Finetuned),3294184,,9.658797015435994,26504.33584957622,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs200_pretrain200,Finetuned,InceptionNet (Finetuned),4244712,,10.867613949812949,23556.228734496613,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs3_pretrain3,Finetuned,InceptionNet (Finetuned),3861480,,9.405584260821342,27217.873223076607,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs100_pretrain300,Original,InceptionNet (Original),6185832,,9.457506565377116,27068.44539100693,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs300_pretrain100,Original,InceptionNet (Original),6185832,,10.25596079416573,24961.093859254,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs200_pretrain200,Original,InceptionNet (Original),6185832,,10.711375088430941,23899.825922116994,6607.37353515625,,,,,,,,,,,,,,
InceptionNet,tinyimagenet_epochs3_pretrain3,Original,InceptionNet (Original),6185832,,10.1127237547189,25314.643829813183,6607.37353515625,,,,,,,,,,,,,,
MobileNet,Cifar10_epochs200_pretrain200,Original,MobileNet (Original),3217226,,4.898077738471329,52265.40158586715,6293.18798828125,0.22683999999999999,0.7731600000000001,,,,,,,,,,,,
MobileNet,Cifar10_epochs3_pretrain3,Original,MobileNet (Original),3217226,,4.358421149663627,58736.866220410455,6293.18798828125,0.0436,0.9564,,,,,,,,,,,,
MobileNet,Cifar10_epochs100_pretrain300,Original,MobileNet (Original),3217226,,4.604691243730485,55595.475668114916,6293.18798828125,0.18576,0.8142400000000001,,,,,,,,,,,,
MobileNet,Cifar100_epochs3_pretrain3,Original,MobileNet (Original),3309476,,4.368074215017259,58607.06283787087,6293.27587890625,0.007033333333333333,0.9929666666666668,,,,,,,,,,,,
MobileNet,Cifar100_epochs200_pretrain200,Original,MobileNet (Original),3309476,,5.018316092900932,51013.12776254682,6293.27587890625,0.09693333333333333,0.9030666666666667,,,,,,,,,,,,
MobileNet,Cifar100_epochs300_pretrain100,Original,MobileNet (Original),3309476,,4.367418587207794,58615.86080844785,6293.27587890625,0.10085,0.89915,,,,,,,,,,,,
MobileNet,Cifar100_epochs100_pretrain300,Original,MobileNet (Original),3309476,,4.3643336510285735,58657.29352284206,6293.27587890625,0.08288333333333334,0.9171166666666668,,,,,,,,,,,,
MobileNet,tinyimagenet_epochs200_pretrain200,Original,MobileNet (Original),3411976,,8.861699188128114,28888.364924749352,6671.37353515625,,,,,,,,,,,,,,
MobileNet,tinyimagenet_epochs100_pretrain300,Original,MobileNet (Original),3411976,,8.2998440368101,30843.95307485671,6671.37353515625,,,,,,,,,,,,,,
MobileNet,tinyimagenet_epochs3_pretrain3,Original,MobileNet (Original),3411976,,9.107112744823098,28109.896865559524,6671.37353515625,,,,,,,,,,,,,,
MobileNet,tinyimagenet_epochs300_pretrain100,Original,MobileNet (Original),3411976,,9.097713558003306,28138.938247269332,6671.37353515625,,,,,,,,,,,,,,
XceptionNet,Cifar10_epochs3_pretrain3,Finetuned,XceptionNet (Finetuned),11193490,,21.869080304168165,11706.024964900209,6365.18798828125,0.22539999999999996,0.7746,,,0.0041666666666666,,,,,,,,,
XceptionNet,Cifar10_epochs200_pretrain200,Finetuned,XceptionNet (Finetuned),13839874,,25.812629284337163,9917.625871431012,6365.18798828125,0.41409999999999997,0.5859,,,-0.0077333333333333,,,,,,,,,
XceptionNet,Cifar10_epochs100_pretrain300,Finetuned,XceptionNet (Finetuned),11193490,,21.784523804672062,11751.46183113245,6365.18798828125,0.4272333333333333,0.5727666666666665,,,-0.0503333333333333,,,,,,,,,
