model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,InceptionNet (Pruned Finetuned Quantized),3809226,18.7027421197854,0.862,0.1927,0.1927,0.138,0.8073,0.8073,0.6693,0.7764501160092807,0.2235498839907192
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),5991082,824.4393657427281,0.8596,0.6798,0.6798,0.1403999999999999,0.3202,0.3202,0.1798,0.2091670544439274,0.7908329455560725
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),3809226,758.4396121674217,0.8633,0.6801,0.6801,0.1367,0.3198999999999999,0.3198999999999999,0.1831999999999999,0.2122089655971272,0.7877910344028728
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),3809226,775.9497165796347,0.862,0.688,0.688,0.138,0.312,0.312,0.174,0.2018561484918794,0.7981438515081206
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,CW,InceptionNet (Control Continued),5991082,28.153144393581897,0.8596,0.0122,0.0122,0.1403999999999999,0.9878,0.9878,0.8474,0.9858073522568636,0.0141926477431363
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,InceptionNet (Pruned Finetuned),3809226,40.40921611012891,0.8633,0.0179,0.0179,0.1367,0.9821,0.9821,0.8453999999999999,0.979265608710761,0.0207343912892389
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,InceptionNet (Pruned Finetuned Quantized),3809226,38.71469963341952,0.862,0.0184,0.0184,0.138,0.9816,0.9816,0.8436,0.9786542923433876,0.0213457076566125
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,FGSM,InceptionNet (Control Continued),5991082,34.668260894250125,0.8596,0.4081,0.4081,0.1403999999999999,0.5919,0.5919,0.4515,0.5252442996742671,0.4747557003257329
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,InceptionNet (Pruned Finetuned),3809226,53.20616163080558,0.8633,0.4151,0.4151,0.1367,0.5849,0.5849,0.4481999999999999,0.5191706243484304,0.4808293756515696
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,InceptionNet (Pruned Finetuned Quantized),3809226,40.55318826576695,0.862,0.4251,0.4251,0.138,0.5749,0.5749,0.4369,0.5068445475638051,0.4931554524361948
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),5991082,819.3786713760346,0.8596,0.6798,0.6798,0.1403999999999999,0.3202,0.3202,0.1798,0.2091670544439274,0.7908329455560725
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),3809226,757.2804601513781,0.8633,0.6801,0.6801,0.1367,0.3198999999999999,0.3198999999999999,0.1831999999999999,0.2122089655971272,0.7877910344028728
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),3809226,779.3840736034326,0.862,0.688,0.688,0.138,0.312,0.312,0.174,0.2018561484918794,0.7981438515081206
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,PGD,InceptionNet (Control Continued),5991082,39.73075147951022,0.8596,0.252,0.252,0.1403999999999999,0.748,0.748,0.6076,0.7068403908794788,0.2931596091205212
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,InceptionNet (Pruned Finetuned),3809226,40.84292324259877,0.8633,0.2537,0.2537,0.1367,0.7463,0.7463,0.6095999999999999,0.7061276497162052,0.2938723502837947
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,InceptionNet (Pruned Finetuned Quantized),3809226,50.22766984766349,0.862,0.2649,0.2649,0.138,0.7351,0.7351,0.5971,0.692691415313225,0.3073085846867749
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,APGD,InceptionNet (Control Continued),6185832,23.829568829387423,0.005,0.0006,0.0006,0.995,0.9994,0.9994,0.0044,0.88,0.1199999999999999
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,InceptionNet (Pruned Finetuned),4431352,38.327111897524446,0.0041,0.0006,0.0006,0.9959,0.9994,0.9994,0.0035,0.853658536585366,0.1463414634146341
InceptionNet,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,InceptionNet (Pruned Finetuned Quantized),4431352,31.31783987628296,0.0042,0.0002,0.0002,0.9958,0.9998,0.9998,0.004,0.9523809523809524,0.0476190476190476
