model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
InceptionNet,tinyimagenet_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.9977,0.0,0.9979,0.0,0.00019999999999997797,inf,0.0,,True,0.00019999999999997797
InceptionNet,tinyimagenet_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9971,,0.9974,,0.00029999999999996696,,,,False,0.00029999999999996696
InceptionNet,tinyimagenet_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9971,,0.9973,,0.00019999999999997797,,,,False,0.00019999999999997797
InceptionNet,tinyimagenet_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9909,,0.9826,,-0.008299999999999974,,,,False,0.008299999999999974
InceptionNet,tinyimagenet_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9909,,0.9927,,0.0018000000000000238,,,,False,0.0018000000000000238
InceptionNet,tinyimagenet_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9982,,0.9967,,-0.0014999999999999458,,,,False,0.0014999999999999458
InceptionNet,tinyimagenet_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9982,,0.9985,,0.000300000000000078,,,,False,0.000300000000000078
RegNetX_400MF,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9903,,0.987,,-0.0032999999999999696,,,,False,0.0032999999999999696
RegNetX_400MF,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9903,,0.9841,,-0.006199999999999983,,,,False,0.006199999999999983
RegNetX_400MF,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.8174,0.0,0.8068,0.0,-0.010600000000000054,-inf,0.0,,True,0.010600000000000054
RegNetX_400MF,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.8174,0.0,0.8072,0.0,-0.010199999999999987,-inf,0.0,,True,0.010199999999999987
RegNetX_400MF,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9989,,0.9987,,-0.00019999999999997797,,,,False,0.00019999999999997797
RegNetX_400MF,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9989,,0.9983,,-0.0006000000000000449,,,,False,0.0006000000000000449
RegNetX_400MF,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9798,,0.9726,,-0.007199999999999984,,,,False,0.007199999999999984
RegNetX_400MF,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9798,,0.977,,-0.0028000000000000247,,,,False,0.0028000000000000247
RegNetX_400MF,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9393,,0.9268,,-0.012500000000000067,,,,False,0.012500000000000067
RegNetX_400MF,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9393,,0.9362,,-0.0030999999999999917,,,,False,0.0030999999999999917
RegNetX_400MF,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9759,,0.9704,,-0.005499999999999949,,,,False,0.005499999999999949
RegNetX_400MF,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9759,,0.9678,,-0.008099999999999996,,,,False,0.008099999999999996
RegNetX_400MF,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9134,,0.9095,,-0.0039000000000000146,,,,False,0.0039000000000000146
RegNetX_400MF,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9134,,0.9105,,-0.0029000000000000137,,,,False,0.0029000000000000137
RegNetX_400MF,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.4801999999999999,0.0,0.4606,0.0,-0.019599999999999895,-inf,0.0,,True,0.019599999999999895
RegNetX_400MF,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.4801999999999999,0.0,0.4569,0.0,-0.023299999999999932,-inf,0.0,,True,0.023299999999999932
RegNetX_400MF,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9202,,0.9284,,0.008199999999999985,,,,False,0.008199999999999985
RegNetX_400MF,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9202,,0.9321,,0.011900000000000022,,,,False,0.011900000000000022
RegNetX_400MF,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8892,,0.8611,,-0.028100000000000014,,,,False,0.028100000000000014
RegNetX_400MF,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8892,,0.8688,,-0.020399999999999974,,,,False,0.020399999999999974
RegNetX_400MF,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.7281,,0.6935,,-0.034599999999999964,,,,False,0.034599999999999964
