model,dataset,attack,baseline_clean_acc,baseline_robust_accuracy,baseline_attack_success_rate,baseline_relative_accuracy_drop,baseline_robustness_ratio,baseline_param_count,variant_clean_acc,variant_robust_accuracy,variant_attack_success_rate,variant_relative_accuracy_drop,variant_robustness_ratio,variant_param_count,baseline_kind,variant_kind,variant_minus_baseline_attack_success_rate,variant_minus_baseline_robust_accuracy,variant_minus_baseline_relative_accuracy_drop,variant_minus_baseline_robustness_ratio,params_reduction_percent
VGG16,Cifar10_epochs100_pretrain300,BIM,0.9282,0.67475,0.32525,0.2730553759965525,0.7269446240034475,33663050.0,0.9167,0.5211,0.4789,0.4315479437111377,0.5684520562888623,21893450.0,Control_Continuted,Dynamic_Region_All_Combined,0.15365,-0.15364999999999995,0.1584925677145852,-0.1584925677145852,34.96296384314552
VGG16,Cifar10_epochs100_pretrain300,DeepFool,0.9282,0.1873,0.8127,0.7982115923292393,0.2017884076707606,33663050.0,0.9167,0.2334,0.7666,0.7453910766881204,0.2546089233118795,21893450.0,Control_Continuted,Dynamic_Region_All_Combined,-0.04610000000000003,0.0461,-0.05282051564111889,0.05282051564111892,34.96296384314552
VGG16,Cifar10_epochs100_pretrain300,FGSM,0.9282,0.4449,0.5550999999999999,0.5206851971557854,0.4793148028442146,33663050.0,0.9167,0.3938,0.6062000000000001,0.5704156212501363,0.4295843787498636,21893450.0,Control_Continuted,Dynamic_Region_All_Combined,0.051100000000000145,-0.051100000000000034,0.04973042409435091,-0.04973042409435102,34.96296384314552
VGG16,Cifar10_epochs100_pretrain300,PGD,0.9282,0.219,0.781,0.7640594699418229,0.2359405300581771,33663050.0,0.9167,0.1026,0.8974,0.8880767972073742,0.1119232027926257,21893450.0,Control_Continuted,Dynamic_Region_All_Combined,0.11639999999999995,-0.1164,0.12401732726555126,-0.12401732726555141,34.96296384314552
XceptionNet,Cifar100_epochs100_pretrain300,APGD,0.5977,0.065,0.935,0.8912497908649823,0.1087502091350175,21011852.0,0.601,0.0592,0.9408,0.9014975041597336,0.0985024958402662,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,0.005799999999999916,-0.0058,0.01024771329475127,-0.010247713294751298,35.840039231192
XceptionNet,Cifar100_epochs100_pretrain300,BIM,0.5977,0.3652,0.6348,0.3889911326752551,0.6110088673247449,21011852.0,0.601,0.3648,0.6352,0.3930116472545756,0.6069883527454243,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,0.00039999999999995595,-0.00040000000000001146,0.004020514579320511,-0.004020514579320622,35.840039231192
XceptionNet,Cifar100_epochs100_pretrain300,CW,0.5977,0.0575,0.9425,0.9037978919190228,0.096202108080977,21011852.0,0.601,0.0055,0.9945,0.990848585690516,0.0091514143094841,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,0.052000000000000046,-0.052000000000000005,0.08705069377149321,-0.0870506937714929,35.840039231192
XceptionNet,Cifar100_epochs100_pretrain300,DeepFool,0.5976,0.0686,0.9314,0.8852074966532798,0.1147925033467202,21011852.0,0.601,0.0711,0.9289,0.8816971713810317,0.1183028286189683,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0025000000000000577,0.0025000000000000022,-0.0035103252722481493,0.0035103252722481076,35.840039231192
XceptionNet,Cifar100_epochs100_pretrain300,FGSM,0.5977,0.1681,0.8319,0.7187552283754391,0.2812447716245608,21011852.0,0.601,0.1678,0.8322,0.7207986688851913,0.2792013311148086,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,0.000300000000000078,-0.0002999999999999947,0.002043440509752137,-0.0020434405097521924,35.840039231192
XceptionNet,Cifar100_epochs100_pretrain300,PGD,0.5977,0.0939,0.9061,0.8428977748034131,0.1571022251965869,21011852.0,0.601,0.086,0.914,0.8569051580698835,0.1430948419301164,13481196.0,Control_Continuted,Dynamic_Region_All_Combined,0.007900000000000018,-0.007900000000000004,0.014007383266470441,-0.014007383266470497,35.840039231192
XceptionNet,Cifar10_epochs100_pretrain300,APGD,0.8832,0.1548,0.8452,0.8247282608695652,0.1752717391304347,20827442.0,0.8875,0.16,0.84,0.8197183098591548,0.180281690140845,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.005199999999999982,0.00520000000000001,-0.005009951010410352,0.005009951010410296,46.25605007086324
XceptionNet,Cifar10_epochs100_pretrain300,BIM,0.8832,0.6645,0.3355,0.2476222826086956,0.7523777173913043,20827442.0,0.88755,0.67805,0.3219499999999999,0.23604304057785186,0.763956959422148,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.013550000000000118,0.013550000000000062,-0.011579242030843734,0.011579242030843706,46.25605007086324
XceptionNet,Cifar10_epochs100_pretrain300,CW,0.8832,0.0114,0.9886,0.987092391304348,0.0129076086956521,20827442.0,0.8875,0.0293,0.9707,0.9669859154929578,0.0330140845070422,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.017900000000000027,0.0179,-0.020106475811390245,0.0201064758113901,46.25605007086324
XceptionNet,Cifar10_epochs100_pretrain300,DeepFool,0.8832,0.2367,0.7633,0.7319972826086957,0.2680027173913043,20827442.0,0.8875,0.2405,0.7595000000000001,0.7290140845070423,0.2709859154929577,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0037999999999999146,0.003799999999999998,-0.0029831981016533726,0.0029831981016533726,46.25605007086324
XceptionNet,Cifar10_epochs100_pretrain300,FGSM,0.8832,0.4372,0.5628,0.5049818840579711,0.495018115942029,20827442.0,0.8875,0.4432,0.5568,0.5006197183098592,0.4993802816901408,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.006000000000000005,0.006000000000000005,-0.004362165748111879,0.004362165748111824,46.25605007086324
XceptionNet,Cifar10_epochs100_pretrain300,PGD,0.8832,0.2346,0.7654,0.734375,0.265625,20827442.0,0.8875,0.2384,0.7616,0.7313802816901409,0.2686197183098591,11193490.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0037999999999999146,0.003799999999999998,-0.00299471830985909,0.00299471830985909,46.25605007086324
XceptionNet,tinyimagenet_epochs100_pretrain300,APGD,0.0042,0.0001,0.9999,0.9761904761904762,0.0238095238095238,21216752.0,0.0051,0.0004,0.9996,0.9215686274509804,0.0784313725490196,16544016.0,Control_Continuted,Dynamic_Region_All_Combined,-0.00029999999999996696,0.00030000000000000003,-0.054621848739495715,0.054621848739495805,22.02380458611195
XceptionNet,tinyimagenet_epochs100_pretrain300,BIM,0.0042,0.0022,0.9978,0.4761904761904761,0.5238095238095238,21216752.0,0.0051,0.0023,0.9977,0.5490196078431373,0.4509803921568627,16544016.0,Control_Continuted,Dynamic_Region_All_Combined,-9.999999999998899e-05,9.999999999999983e-05,0.0728291316526612,-0.07282913165266114,22.02380458611195
XceptionNet,tinyimagenet_epochs100_pretrain300,CW,0.0042,0.0026,0.9974,0.3809523809523809,0.6190476190476191,21216752.0,0.0051,0.0027,0.9973,0.4705882352941176,0.5294117647058824,16544016.0,Control_Continuted,Dynamic_Region_All_Combined,-9.999999999998899e-05,0.00010000000000000026,0.08963585434173671,-0.08963585434173671,22.02380458611195
XceptionNet,tinyimagenet_epochs100_pretrain300,DeepFool,0.0042,0.0013,0.9987,0.6904761904761905,0.3095238095238095,21216752.0,0.0051,0.0018,0.9982,0.6470588235294118,0.3529411764705882,16544016.0,Control_Continuted,Dynamic_Region_All_Combined,-0.000500000000000056,0.0005,-0.04341736694677867,0.043417366946778724,22.02380458611195
